Mes;Categor¡a;?tem;Referencia;Descripci¢n;Cantidad en Principal;Cantidad m¡nima en Principal;Cantidad m xima en Principal;Cantidad total;Cantidad en remisiones;Unidad;Estado;Costo promedio;Total
Mayo;CUIDADO PERSONAL;JABON DE MANOS Y CUERPO FRUTOS ROJOS 500 mL;JB02FR;;-6;5;10;-6;0;Unidad;Activo;2219,940339;-13319,64
Mayo;CUIDADO PERSONAL;JABON DE MANOS Y CUERPO FRUTOS ROJOS 1 L;JB03FR;;6;4;8;6;0;Unidad;Activo;3208,04332;19248,26
Mayo;CUIDADO PERSONAL;JABON DE MANOS Y CUERPO FRUTOS ROJOS 2 L;JB04FR;;1;3;6;1;0;Unidad;Activo;4860,34;4860,34
Mayo;CUIDADO PERSONAL;JABON DE MANOS Y CUERPO FRUTOS ROJOS GALON;JB05FR;;5;5;10;5;0;Unidad;Activo;8899,371834;44496,86
Mayo;CUIDADO PERSONAL;JABON DE MANOS Y CUERPO FRUTOS ROJOS GARRAFA;JB06FR;;-1;1;2;-1;0;Unidad;Activo;40013;-40013
Mayo;CUIDADO PERSONAL;JABON DE MANOS Y CUERPO MANZANA VERDE 300 mL;JB01MV;;0;1;2;0;0;Unidad;Activo;1056,066116;0
Mayo;CUIDADO PERSONAL;JABON DE MANOS Y CUERPO MANZANA VERDE 500 mL;JB02MV;;-9;3;6;-9;0;Unidad;Activo;2056,18968;-18505,71
Mayo;CUIDADO PERSONAL;JABON DE MANOS Y CUERPO MANZANA VERDE 1 L;JB03MV;;4;2;4;4;0;Unidad;Activo;3481,401002;13925,6
Mayo;CUIDADO PERSONAL;JABON DE MANOS Y CUERPO MANZANA VERDE 2 L;JB04MV;;0;0;0;0;0;Unidad;Activo;4254,129999;0
Mayo;CUIDADO PERSONAL;JABON DE MANOS Y CUERPO MANZANA VERDE GALON;JB05MV;;10;3;6;10;0;Unidad;Activo;7843,061018;78430,61
Mayo;CUIDADO PERSONAL;JABON DE MANOS Y CUERPO MANZANA VERDE GARRAFA;JB06MV;;0;1;2;0;0;Unidad;Activo;40133;0
Mayo;CUIDADO PERSONAL;JABON DE MANOS Y CUERPO DURAZNO 300 mL;JB01D;;0;0;0;0;0;Unidad;Inactivo;954,158782;0
Mayo;CUIDADO PERSONAL;JABON DE MANOS Y CUERPO DURAZNO 500 mL;JB02D;;0;3;6;0;0;Unidad;Inactivo;1865;0
Mayo;CUIDADO PERSONAL;JABON DE MANOS Y CUERPO DURAZNO 1 L;JB03D;;0;1;2;0;0;Unidad;Inactivo;3207,531276;0
Mayo;CUIDADO PERSONAL;JABON DE MANOS Y CUERPO DURAZNO 2 L;JB04D;;0;1;2;0;0;Unidad;Inactivo;5022,75;0
